country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.3,14,12.9,12.5,12.4,12.9,13.3,13.5,13.6,13.7
Angola,,,,,,,,,,,,,,,,,,,,72.7,85.7,84.9,288,327,581,241,181,148,195,223,131,119,66.7,56.6,46.5,37.1,21.4,20.7,20.7,31.8,35.1,33.3,37.6,43.3,41.6,51,59.3,44.4,55.5,60.2
Albania,,,,,,,,,,,,,,,,,,,,,,47.5,103,64.5,46.6,18.8,15,22.4,23.8,23.5,31.3,28.4,26.4,26.8,21.8,25.8,27.5,27,32.9,38.9,46,50.3,60.4,66.5,63.8,73.3,70.6,75.1,65.2,63.7
Argentina,19.4,18.9,20.2,14,10.7,14.9,18.6,20.7,23.4,30.9,35.8,46.6,55.3,47,65.4,61.1,49.7,55.4,48.9,93.3,46.2,35.7,30.6,27.7,29.6,39,41.7,44.7,48.5,55,54.2,58.5,160,133,115,74.2,52.9,43.2,36.8,41.4,31,27.7,26.3,27.9,29.9,30.4,34.7,37.8,56.6,64.6
Armenia,,,,,,,,,,,,,,,,,,,,,,,,11.2,16.4,24.5,31.7,36.8,41.2,53.8,51.7,64.6,69.9,68.8,56.6,38.6,32,31.8,29.2,54.8,64.9,70.6,69.2,73.5,70.5,80.4,91.3,85.7,85,85.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.895,3.41,10.5,13.9,12.9,15.9,28.4,32.1,28.4,28.9,28.4,27.2,19.4,15.3,13.9,10.3,11.2,14.7,12.6,16.6,15.1,16.6,26.1,41.2,39.1,36.3,34.4
Burundi,6.36,5.59,2.93,2.63,2.81,4.7,5.12,8.79,12.5,17.6,18,18.5,22.6,28.7,35.7,40.2,48.3,69.8,75.6,81.1,81.2,83.3,96,115,123,118,132,111,127,145,127,126,152,176,153,117,108,104,86.5,34.4,30.7,27.2,28.7,27.9,25.6,20.2,20.4,19.4,19.4,19.2
Benin,13,15.4,11.6,17.9,19.5,17.6,20.2,28.3,30.6,38.2,33.9,42.2,60.1,73.8,74.7,88.1,79.3,81.1,73.3,73.1,58.3,58.8,73.3,56.9,88.4,65.7,59.5,63,58.7,40.6,40,40.3,38.8,28,26.4,23.8,9.46,11.2,10.3,13.7,16.9,17.5,15.3,16.3,15.5,19.4,19.4,22.4,25.6,27.4
Burkina Faso,4.54,4.9,3.47,4.61,6.32,6.74,8.82,14.8,17.9,17,17.2,18.6,20.2,25,28.2,33,31.5,35,32.5,27.5,26.9,30.9,46.6,48.3,60.3,53.8,50.2,53.3,52.2,,,,,,,,,,,,,,,,,23.2,23.6,22.9,20.9,23.9
Bangladesh,,,,6.14,10,8.64,19.7,24.3,21.3,19.1,20.9,20.4,26.2,29.5,28.5,28.8,35.6,39.2,37.8,36.4,38.1,41.1,41.3,41.5,44.5,40.2,31.8,28.7,30.2,31.1,28.3,26.9,29.3,29.5,29,25.5,26.6,25.4,23.7,22.9,21.3,19.5,19.5,19.4,17.7,17.3,16.4,18,18.2,18
Bulgaria,,,,,,,,,,,,3.93,6.84,10.5,14.7,22.5,29.2,29.7,40.4,47.5,57.3,119,116,114,103,55.9,87.1,101,77.3,87.7,92.9,79.4,73.5,66.4,62.8,61.8,83.5,106,102,111,103,85.9,96.5,95,83.5,82.3,76.7,71.2,60,61.3
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,45.8,42.4,44.2,50.4,49.7,59.9,65,71.2,66.1,76.6,81.9,76.3,81.3,80,73.6,84.7,84.6,84.6,79.4,82.9
Belarus,,,,,,,,,,,,,,,,,,,,,,,,5.95,8.73,12.2,13.3,14.8,15.8,22.3,20.7,22.7,23.4,21.2,19.9,17.6,17.8,27.9,25.1,44.1,50.6,56.2,52.6,54.4,52.4,70.9,82.4,75.2,67,66.6
Belize,7.93,7.62,8.03,6.5,5.71,4.56,10.4,18.4,25.7,49,32.2,31,39.4,53.9,47.8,58.3,54.1,49.9,42.1,38.2,35.3,37.2,36,35.9,35.8,42.7,45.8,71.3,50.8,60.1,80.8,90.1,99.1,119,103,104,97.2,96.7,108,105,105,93.5,85.3,85.5,84.6,78.6,77.4,79.6,79.8,80.7
Bolivia,,,,,,,50.4,57.1,61.4,62.1,65.3,60.1,66.1,82.3,76.7,97.9,155,147,115,94.9,94.6,81.6,79.5,79.6,85.6,82.3,73.4,68.7,68.2,69.9,72.1,60.5,66.3,75.4,74.9,76,56.6,40.1,35.3,34.7,30.7,27.1,26,28.3,28.4,31,33,35.6,33.7,35.8
Brazil,14.3,15.9,20.4,19.2,21.5,22.8,22.5,24.5,28.1,28.2,31.7,32.4,35.3,51.7,52.9,49.4,42.8,42.6,37.2,25.6,26.8,20.6,33,33.9,28.5,21.2,22,23.3,29.3,43.1,38.1,42.5,47.2,43.6,34,21.8,18,17.4,15.9,17.3,16.5,15.9,18.3,19.8,23.1,30.7,30.9,26.8,30.4,31.8
Bhutan,,,,,,,,,,,,0.283,0.995,1.46,2.02,6.42,12.7,18.1,26,28.1,29.7,37.8,40.1,45.8,41.7,39.8,40.2,35.8,53.3,55.3,49.9,59.1,75.3,83.6,90.2,83.6,82.8,69.5,58.1,66.5,64,64.4,88.4,93.6,104,108,116,117,115,
Botswana,17.2,25.5,45.2,47,43.3,41.7,44.7,41.1,21.3,15.9,13.4,14.4,19.6,20.1,23.7,33.9,31.7,31.4,21.6,19.5,15,15.3,14.2,14.9,17.4,15.3,13.6,11.8,10.8,9.77,8.32,7.48,10.4,7.57,6.45,5.06,3.9,4.17,4.4,16.4,14.9,16,17.8,16.8,15.8,16,14.8,10.8,10.3,9.23
Central African Republic,12.9,14.3,16.1,20.9,24.6,21,21,26,23.3,22.7,24.3,33.4,34.2,39.8,42,40.1,41.6,52.5,54.1,57.4,49.3,58.3,58.3,69.5,107,86.4,94.5,95.8,96.9,93.2,96.4,90.3,110,93.6,88.9,78.7,72.4,61.1,50.9,26.8,29.5,23.3,22.9,35,34.6,42.6,39.8,35,34.3,36.9
China,,,,,,,,,,,,2.96,4.07,4.15,4.63,5.38,7.89,13,13.6,12.9,15.3,15.7,17,19.4,17.9,16.4,15.2,15.5,14.2,13.8,12.2,14,12.7,12.6,12.7,12.6,11.9,10.6,8.36,8.92,12.3,14.1,13.5,15.6,17,12.1,12.6,13.9,14.2,14.8
Cote d'Ivoire,26.3,33.9,32.4,35.9,35.9,39,40.6,42.4,50.5,55,77.1,103,128,144,135,153,135,148,143,177,187,199,189,197,231,189,174,142,124,113,124,117,108,89.7,89.3,73.1,79.8,73.6,55.6,63.8,48.8,52.4,36.8,33,28.5,25.4,24.4,26.9,28,33.7
Cameroon,14.2,16.1,16.8,17.6,16.5,18,22.5,42.7,37.9,39.7,45.8,38.5,40.8,41.7,38.5,40,39.5,37.8,38.7,49.1,61.5,58,69.9,52.4,93.1,120,112,105,112,100,111,101,94.3,81.4,63.8,44.1,17.9,14.1,10.9,12.5,12.3,10.6,13.6,16.3,16.6,24,24.4,29.1,28.7,33.7
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,240,271,237,217,226,284,63.1,164,119,131,115,93.3,81,77.4,66.6,73.3,29.7,22.3,20.3,20.5,16.7,15.2,13.8,13.8,10.9,11.9
"Congo, Rep.",44.3,44.4,39.1,36.2,45.7,48.4,53.2,79.6,95,95.6,98.9,79.4,96.9,105,99.8,150,186,183,212,209,212,210,185,329,357,489,359,303,345,306,206,245,231,215,216,156,131,91.4,61.6,72.3,30.9,29.1,32.8,36.3,36.2,49.8,47.7,53.2,41.8,53.7
Colombia,33.3,34.5,35,32.9,28.8,30.8,27.5,27.3,23.1,21.9,21.5,24.9,27.7,31,33.5,43.6,46.9,50.1,45.9,45.9,38.2,36.9,31.3,29.8,27.7,27.9,30.7,30.9,34.5,41.1,35.1,38.2,35.2,40.8,33.8,26.4,24.5,22.2,20.1,23.8,23.3,23.8,22.2,25.1,28.3,39.2,43.1,41,40.8,44.2
Comoros,,,,,,,,,,,20.7,27.9,37.4,44.9,56.9,68.6,60,60.4,56.4,51,43.1,42.4,40.7,40.7,61.7,52.3,55.7,60.9,62.2,60.5,66.3,64.1,63.9,53.3,48.3,44.3,42.1,36.1,30.3,31.8,30.7,27,24.9,13.2,12.3,13.5,18.7,18.2,21.6,23.2
