country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−20.7M,−28.5M,−57M,−66.5M,−81M,69.8M,37.4M,−86.6M,−157M,−77.7M,−219M,−297M,−278M,−288M,−312M,−395M,−407M,−436M,−283M,−206M,−18.4M,13.4M,52M,,
Afghanistan,−15.6M,−20M,−24.4M,−57.8M,−73.3M,−102M,−140M,−124M,−86.7M,−68.9M,−37.8M,−95.6M,−53.3M,−31.1M,−17.8M,−37.8M,−42.2M,−93.3M,−100M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−1.96B,−3.21B,−4.15B,−7.48B,−8.67B,−6.26B,−7.04B,−6.19B,−6.8B,−6.37B,−5.75B
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45B,39.5M,1.36B,845M,3.1B,9.04B,16.9B,18.1B,20.9B,−3.47B,15.9B,23.9B,25.7B,20.1B,14.7B,−3.93B,2.91B,7.02B,15.5B,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,−37.8M,−43.5M,−8.91M,−2.07M,−60.3M,−64.9M,−175M,−232M,−546M,−576M,−548M,−534M,−693M,−565M,−642M,−557M,−808M,−934M,−1.16B,−1.42B,−1.62B,−2B,−2.12B,−2.85B,−3.46B,−2.96B,−2.46B,−2.93B,−2.3B,−2.3B,−2.51B,−1.97B,−2B,−1.96B,−2.08B,−2.09B
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73B,6.52B,11.9B,15.5B,28.2B,39.5B,20.6B,29.1B,14.8B,59.7B,99.9B,136B,140B,123B,95B,90.2B,93.3B,111B,101B
Argentina,,,−1.15B,396,392,588M,476M,606M,286M,0,273M,−200M,125M,1B,444M,−81.1M,1.67B,1.3B,1.68B,125M,−1.09B,−355M,2.17B,3.45B,2.24B,4.83B,2.04B,330M,4.19B,4.97B,8.1B,3.03B,−3.51B,−5.69B,−7.91B,−1.06B,−1.77B,−6.49B,−7.53B,−4.9B,−1.85B,3.51B,14.7B,14.3B,11.5B,11.8B,13.1B,12.6B,13.4B,16.9B,12.3B,8.97B,10.6B,−550M,2.13B,−6.39B,−5.8B,−17.6B,−11.1B,9.83B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−256M,−401M,−273M,−163M,−444M,−562M,−523M,−623M,−641M,−536M,−534M,−457M,−435M,−536M,−597M,−760M,−1.07B,−1.9B,−3.03B,−2.42B,−2.33B,−2.47B,−2.21B,−2.21B,−2.15B,−1.28B,−1.01B,−1.4B,−1.95B,−1.97B
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−41M,−58M,−107M,−116M,−139M,−116M,−113M,−26M,−173M,−224M,−161M,−184M,−253M,−231M,−208M,−254M,−194M,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,−3.26M,2.66M,5.84M,−21.3M,−27.8M,−54.2M,−23.2M,−17.8M,−35.5M,−87.6M,−76.2M,−18.3M,−48M,4.74M,12M,20.8M,40.8M,14.5M,−37.3M,−64.8M,−35M,−24M,−56.5M,−31.6M,−41.2M,−46.6M,−72.1M,−58.4M,−137M,−270M,−351M,−327M,−145M,−155M,−104M,−159M,−175M,−152M,−68.2M,−77.8M,,,
Australia,−198M,−515M,261M,−178M,279M,−531M,−599M,−307M,−715M,−505M,−101M,−124M,443M,2B,−57.5M,−441M,146M,−695M,−1.14B,−1.41B,789M,−3.24B,−6.38B,−3.6B,−2.76B,−3.69B,−5.59B,−3.02B,−1.56B,−5.49B,−5.99B,−432M,885M,−1000M,−1.66B,−7.23B,−1.82B,1.19B,−3.51B,−9.51B,−8.97B,326M,−31.9M,−9.82B,−16.6B,−19B,−13.6B,−14B,−26.8B,1.96B,−11.8B,13.5B,−3.85B,−20.4B,−6.27B,−20.6B,−27.5B,8.2B,5.98B,35.9B
Austria,,,,,,,,,,,−11.8M,−55.3M,−95.9M,−182M,−471M,−164M,−1.04B,−2.25B,−892M,−1.15B,−2.82B,−1.7B,−452M,−1.09B,−729M,−167M,−19M,−51.3M,−561M,−676M,−156M,−1.51B,−2.57B,−642M,−3.4B,−2.87B,−3.76B,−1.73B,−491M,986M,2.62B,3.35B,7.87B,7.21B,8.85B,10.1B,12.1B,17.1B,19B,13.4B,13.7B,12B,11.4B,12.1B,14.5B,14.3B,15.2B,13.8B,17B,16.6B
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411M,392M,1.58B,−737M,−196M,−639M,−985M,−951M,−1.42B,−636M,94.5M,239M,−454M,−1.71B,−2.08B,1.33B,5.82B,13.1B,20.7B,12.6B,17.8B,21.3B,19.3B,16.4B,12.8B,1.59B,1.05B,2.74B,7.78B,5.92B
Burundi,−1.75M,−3.5M,−7M,−15.8M,5.25M,−3.48M,−3.67M,−1.93M,−5.63M,−4.63M,−2.26M,−14.5M,−8.24M,−7.05M,−20M,−45.2M,−13.1M,1.67M,−52M,−67M,−133M,−125M,−169M,−170M,−119M,−112M,−127M,−181M,−145M,−147M,−225M,−217M,−224M,−167M,−168M,−144M,−86.3M,−44.8M,−102M,−67.8M,−86.3M,−93M,−102M,−115M,−162M,−254M,−354M,−342M,−422M,−403M,−408M,−568M,−567M,−696M,−718M,−654M,−546M,−619M,−620M,−711M
Belgium,,,,,,,,,,,584M,582M,1.14B,917M,289M,203M,208M,−549M,−799M,−2.01B,−3.58B,−2.19B,−1.58B,345M,495M,890M,2.69B,2.71B,3.88B,3.61B,3.61B,3.93B,5.98B,7.2B,8.86B,11.1B,8.86B,9.82B,9.41B,10.2B,6.77B,8.63B,14.3B,17B,18B,15.6B,16.5B,19.4B,3.47B,10.9B,8.19B,−517M,312M,4.16B,4.38B,6.55B,5.68B,7.03B,−886M,874M
Benin,−13.5M,−11.7M,−15.2M,−19.8M,−19.2M,−22.1M,−28.3M,−37.1M,−31.8M,−31.9M,−31M,−33.7M,−50.9M,−51.9M,−84.2M,−128M,−126M,−140M,−167M,−231M,−302M,−362M,−283M,−195M,−119M,−136M,−213M,−245M,−296M,−170M,−144M,−186M,−174M,−238M,−124M,−197M,−83.1M,−98.9M,−133M,−308M,−216M,−312M,−180M,−231M,−178M,−140M,−257M,−410M,−341M,−470M,−504M,−590M,−328M,−508M,−320M,−833M,−446M,−897M,−1.03B,−636M
Burkina Faso,−36.3M,−36.3M,−38.6M,−39.8M,−35.8M,−28.4M,−28.6M,−40.6M,−41.8M,−51.3M,−49M,−69.6M,−86.1M,−112M,−121M,−214M,−184M,−254M,−299M,−368M,−430M,−394M,−411M,−347M,−260M,−328M,−407M,−396M,−422M,−390M,−418M,−404M,−239M,−273M,−205M,−297M,−441M,−387M,−430M,−624M,−515M,−433M,−490M,−564M,−747M,−890M,−863M,−996M,−1.42B,−1.2B,−813M,−617M,−1.01B,−1.33B,−692M,−813M,−778M,−900M,−656M,−743M
Bangladesh,29.5M,−44.2M,−3.12M,−89M,−220M,−219M,−152M,−239M,−245M,−298M,−377M,−388M,−507M,−430M,−832M,−1.01B,−1.3B,−515M,−1.32B,−1.51B,−2.25B,−1.82B,−1.94B,−1.6B,−1.9B,−1.66B,−1.45B,−1.63B,−1.81B,−2.09B,−2.26B,−1.72B,−1.51B,−1.69B,−1.64B,−2.46B,−3.09B,−2.55B,−2.18B,−2.5B,−2.47B,−2.87B,−2.27B,−2.88B,−2.97B,−3.9B,−3.88B,−4.74B,−6.69B,−6.37B,−6.63B,−9.75B,−10.4B,−10.8B,−11.3B,−14.5B,−10.3B,−13.1B,−23.7B,−18.5B
Bulgaria,,,,,,,,,,,,,,,,,,,,,996M,222M,206M,34.6M,332M,−69.8M,−696M,−516M,−74.5M,−382M,−745M,468M,−603M,−826M,−60.6M,1.79B,1.37B,1.44B,1.03B,−624M,−703M,−1.32B,−1.31B,−2.15B,−2.92B,−4.38B,−5.88B,−8.36B,−10.8B,−4.29B,−1.44B,216M,−1.72B,−248M,−557M,484M,2.66B,2.56B,1.71B,2.33B
Bahrain,,,,,,,,,,,,,,,,,,,,,272M,386M,445M,139M,103M,436M,424M,508M,661M,426M,886M,−491M,−587M,164M,401M,674M,715M,608M,44.4M,1.05B,2.04B,1.81B,1.33B,1.78B,2.17B,3.11B,4.1B,4.69B,4.96B,4.35B,4.78B,7.1B,5.66B,5.77B,5.52B,3.5B,2.83B,3.01B,2.91B,
